# Assembly name:  ASM1059762v1
# Organism name:  Morganella morganii (enterobacteria)
# Infraspecific name:  strain=AS012332
# Taxid:          582
# BioSample:      SAMN12250651
# BioProject:     PRJNA553678
# Submitter:      Ares Genetics
# Date:           2020-02-14
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    VKWT01
# Assembly method: SPAdes v. 3.12
# Expected final version: yes
# Genome coverage: 105.15x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_010597625.1
# RefSeq assembly accession: GCF_010597625.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_010597635.1	GCF_010597635.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
AS012332_1	unplaced-scaffold	na	na	VKWT01000001.1	=	NZ_VKWT01000001.1	Primary Assembly	198270	na
AS012332_10	unplaced-scaffold	na	na	VKWT01000010.1	=	NZ_VKWT01000010.1	Primary Assembly	82490	na
AS012332_100	unplaced-scaffold	na	na	VKWT01000100.1	=	NZ_VKWT01000100.1	Primary Assembly	8500	na
AS012332_101	unplaced-scaffold	na	na	VKWT01000101.1	=	NZ_VKWT01000101.1	Primary Assembly	8310	na
AS012332_102	unplaced-scaffold	na	na	VKWT01000102.1	=	NZ_VKWT01000102.1	Primary Assembly	8245	na
AS012332_103	unplaced-scaffold	na	na	VKWT01000103.1	=	NZ_VKWT01000103.1	Primary Assembly	8006	na
AS012332_104	unplaced-scaffold	na	na	VKWT01000104.1	=	NZ_VKWT01000104.1	Primary Assembly	7958	na
AS012332_105	unplaced-scaffold	na	na	VKWT01000105.1	=	NZ_VKWT01000105.1	Primary Assembly	7741	na
AS012332_106	unplaced-scaffold	na	na	VKWT01000106.1	=	NZ_VKWT01000106.1	Primary Assembly	7657	na
AS012332_107	unplaced-scaffold	na	na	VKWT01000107.1	=	NZ_VKWT01000107.1	Primary Assembly	7630	na
AS012332_108	unplaced-scaffold	na	na	VKWT01000108.1	=	NZ_VKWT01000108.1	Primary Assembly	7590	na
AS012332_109	unplaced-scaffold	na	na	VKWT01000109.1	=	NZ_VKWT01000109.1	Primary Assembly	7552	na
AS012332_11	unplaced-scaffold	na	na	VKWT01000011.1	=	NZ_VKWT01000011.1	Primary Assembly	73960	na
