# Assembly name:  ASM1103014v1
# Organism name:  Morganella morganii (enterobacteria)
# Infraspecific name:  strain=MMM_77
# Taxid:          582
# BioSample:      SAMN14120195
# BioProject:     PRJNA607022
# Submitter:      Lebanese American University
# Date:           2020-02-26
# Assembly type:  na
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    JAAJRG01
# Assembly method: SPAdes v. 3.13
# Expected final version: yes
# Genome coverage: 30x
# Sequencing technology: Illumina MiSeq
# GenBank assembly accession: GCA_011030145.1
# RefSeq assembly accession: GCF_011030145.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_011030185.1	GCF_011030185.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
NODE_10_length_188972_cov_13.5507	unplaced-scaffold	na	na	JAAJRG010000010.1	=	NZ_JAAJRG010000010.1	Primary Assembly	188972	na
NODE_11_length_134832_cov_13.2409	unplaced-scaffold	na	na	JAAJRG010000011.1	=	NZ_JAAJRG010000011.1	Primary Assembly	134832	na
NODE_12_length_74022_cov_14.0433	unplaced-scaffold	na	na	JAAJRG010000012.1	=	NZ_JAAJRG010000012.1	Primary Assembly	74022	na
NODE_13_length_69288_cov_13.3937	unplaced-scaffold	na	na	JAAJRG010000013.1	=	NZ_JAAJRG010000013.1	Primary Assembly	69288	na
NODE_14_length_57085_cov_13.9576	unplaced-scaffold	na	na	JAAJRG010000014.1	=	NZ_JAAJRG010000014.1	Primary Assembly	57085	na
NODE_15_length_38808_cov_14.3151	unplaced-scaffold	na	na	JAAJRG010000015.1	=	NZ_JAAJRG010000015.1	Primary Assembly	38808	na
NODE_16_length_32220_cov_14.3603	unplaced-scaffold	na	na	JAAJRG010000016.1	=	NZ_JAAJRG010000016.1	Primary Assembly	32220	na
NODE_17_length_25272_cov_16.8296	unplaced-scaffold	na	na	JAAJRG010000017.1	=	NZ_JAAJRG010000017.1	Primary Assembly	25272	na
NODE_18_length_11177_cov_13.9732	unplaced-scaffold	na	na	JAAJRG010000018.1	=	NZ_JAAJRG010000018.1	Primary Assembly	11177	na
NODE_19_length_7612_cov_13.7085	unplaced-scaffold	na	na	JAAJRG010000019.1	=	NZ_JAAJRG010000019.1	Primary Assembly	7612	na
NODE_1_length_603745_cov_13.1658	unplaced-scaffold	na	na	JAAJRG010000001.1	=	NZ_JAAJRG010000001.1	Primary Assembly	603745	na
NODE_20_length_6824_cov_16.372	unplaced-scaffold	na	na	JAAJRG010000020.1	=	NZ_JAAJRG010000020.1	Primary Assembly	6824	na
NODE_21_length_4696_cov_14.1698	unplaced-scaffold	na	na	JAAJRG010000021.1	=	NZ_JAAJRG010000021.1	Primary Assembly	4696	na
NODE_22_length_3038_cov_112.256	unplaced-scaffold	na	na	JAAJRG010000022.1	=	NZ_JAAJRG010000022.1	Primary Assembly	3038	na
NODE_23_length_1845_cov_2310.26	unplaced-scaffold	na	na	JAAJRG010000023.1	=	NZ_JAAJRG010000023.1	Primary Assembly	1845	na
NODE_24_length_1294_cov_14.1474	unplaced-scaffold	na	na	JAAJRG010000024.1	=	NZ_JAAJRG010000024.1	Primary Assembly	1294	na
NODE_25_length_1290_cov_129.771	unplaced-scaffold	na	na	JAAJRG010000025.1	=	NZ_JAAJRG010000025.1	Primary Assembly	1290	na
NODE_26_length_1288_cov_31.4884	unplaced-scaffold	na	na	JAAJRG010000026.1	=	NZ_JAAJRG010000026.1	Primary Assembly	1288	na
NODE_27_length_1172_cov_31.422	unplaced-scaffold	na	na	JAAJRG010000027.1	=	NZ_JAAJRG010000027.1	Primary Assembly	1172	na
NODE_28_length_820_cov_50.7792	unplaced-scaffold	na	na	JAAJRG010000028.1	=	NZ_JAAJRG010000028.1	Primary Assembly	820	na
NODE_29_length_806_cov_118.829	unplaced-scaffold	na	na	JAAJRG010000029.1	=	NZ_JAAJRG010000029.1	Primary Assembly	806	na
